#NettingSetId,Sample,PosExpNoColl,NegExpNoColl,PosExpWithColl,NegExpWithColl
CPTY_A,434,20236.3278,-526941.8620,20236.3278,-526941.8620
CPTY_A,435,664611.5255,-107503.0163,664611.5255,-107503.0163
CPTY_A,436,0.0000,-1135631.2157,0.0000,-1135631.2157
CPTY_A,437,0.0000,-1074509.1468,0.0000,-1074509.1468
CPTY_A,438,478730.2720,-18186.9771,478730.2720,-18186.9771
CPTY_A,439,767717.8208,-44489.6577,767717.8208,-44489.6577
CPTY_A,440,16991.4026,-287401.2765,16991.4026,-287401.2765
CPTY_A,441,93551.7299,-379283.7673,93551.7299,-379283.7673
CPTY_A,442,116492.7486,-117091.1248,116492.7486,-117091.1248
CPTY_A,443,151786.8176,-218054.9962,151786.8176,-218054.9962
CPTY_A,444,12785.4184,-787195.9620,12785.4184,-787195.9620
CPTY_A,445,141591.2528,-345868.9145,141591.2528,-345868.9145
CPTY_A,446,2144991.8964,0.0000,2144991.8964,0.0000
CPTY_A,447,1819498.1446,-11726.2927,1819498.1446,-11726.2927
CPTY_A,448,320555.4789,-139977.8016,320555.4789,-139977.8016
CPTY_A,449,1622.8803,-552119.6845,1622.8803,-552119.6845
CPTY_A,450,20839.3556,-288751.4645,20839.3556,-288751.4645
CPTY_A,451,637025.2008,-119315.0001,637025.2008,-119315.0001
CPTY_A,452,15629.5084,-627191.0104,15629.5084,-627191.0104
CPTY_A,453,70566.2432,-408447.2745,70566.2432,-408447.2745
CPTY_A,454,803772.4963,-3374.5988,803772.4963,-3374.5988
CPTY_A,455,88798.9784,-776265.0959,88798.9784,-776265.0959
CPTY_A,456,93218.0320,-333709.1555,93218.0320,-333709.1555
CPTY_A,457,18685.5250,-549564.5425,18685.5250,-549564.5425
CPTY_A,458,16285.3619,-445049.5282,16285.3619,-445049.5282
CPTY_A,459,681545.3707,-32406.7018,681545.3707,-32406.7018
CPTY_A,460,2037.3755,-860387.2244,2037.3755,-860387.2244
CPTY_A,461,101084.6121,-300746.4283,101084.6121,-300746.4283
CPTY_A,462,1906063.0070,-23244.8891,1906063.0070,-23244.8891
CPTY_A,463,637308.6914,-85499.7281,637308.6914,-85499.7281
CPTY_A,464,505308.4287,-137252.9896,505308.4287,-137252.9896
CPTY_A,465,244504.9613,-254523.9703,244504.9613,-254523.9703
CPTY_A,466,13078.8902,-583726.2064,13078.8902,-583726.2064
CPTY_A,467,688519.5293,-19243.7064,688519.5293,-19243.7064
CPTY_A,468,60704.4415,-958658.2436,60704.4415,-958658.2436
CPTY_A,469,0.0000,-1160386.6503,0.0000,-1160386.6503
CPTY_A,470,268842.3962,-123894.6388,268842.3962,-123894.6388
CPTY_A,471,301962.2533,-119064.5326,301962.2533,-119064.5326
CPTY_A,472,30612.6517,-498647.2940,30612.6517,-498647.2940
CPTY_A,473,0.0000,-604170.7455,0.0000,-604170.7455
CPTY_A,474,169688.1210,-266560.2518,169688.1210,-266560.2518
CPTY_A,475,294436.0627,-66558.2488,294436.0627,-66558.2488
CPTY_A,476,4111.3588,-1115020.1042,4111.3588,-1115020.1042
CPTY_A,477,193277.9858,-275170.7590,193277.9858,-275170.7590
CPTY_A,478,1367269.5491,-60573.9283,1367269.5491,-60573.9283
CPTY_A,479,1128926.9995,0.0000,1128926.9995,0.0000
CPTY_A,480,185415.5813,-195880.3627,185415.5813,-195880.3627
CPTY_A,481,0.0000,-709400.5776,0.0000,-709400.5776
CPTY_A,482,39031.4852,-387385.1694,39031.4852,-387385.1694
CPTY_A,483,972376.2855,-20623.4793,972376.2855,-20623.4793
CPTY_A,484,39624.0893,-565324.4149,39624.0893,-565324.4149
CPTY_A,485,104854.7843,-519879.7702,104854.7843,-519879.7702
CPTY_A,486,623431.8516,-72790.3586,623431.8516,-72790.3586
CPTY_A,487,85223.6171,-446726.2963,85223.6171,-446726.2963
CPTY_A,488,131998.9259,-264125.8968,131998.9259,-264125.8968
CPTY_A,489,37490.5492,-546704.4541,37490.5492,-546704.4541
CPTY_A,490,20123.0396,-542715.5454,20123.0396,-542715.5454
CPTY_A,491,237409.0555,-71994.2283,237409.0555,-71994.2283
CPTY_A,492,23209.0220,-1017204.2010,23209.0220,-1017204.2010
