#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
103,-27048277.755859,4207658.944175,0.000000,4269377.940273,4292223.530471,-185780.048074,4043089.805071
104,-27030320.451172,4209595.449993,0.000000,4269377.940273,4292223.530471,-2265950.044174,4043089.805071
105,-26965745.792969,4216592.429448,0.000000,4269377.940273,4292223.530471,-915528.983327,4043089.805071
106,-26911229.976563,4222539.887782,0.000000,4269377.940273,4292223.530471,3187112.340513,4043089.805071
107,-26897774.873535,4224013.457988,0.000000,4269377.940273,4292223.530471,-4981123.201296,4043089.805071
108,-26733773.421875,4242153.912205,0.000000,4269377.940273,4292223.530471,-1206605.728518,4043089.805071
109,-26722015.311523,4243467.172218,0.000000,4269377.940273,4292223.530471,270380.558554,4043089.805071
110,-26698544.568359,4246093.658560,0.000000,4269377.940273,4292223.530471,334355.188215,4043089.805071
111,-26696569.706909,4246314.961178,0.000000,4269377.940273,4292223.530471,2954794.366426,4043089.805071
112,-26696153.078125,4246361.654594,0.000000,4269377.940273,4292223.530471,-900034.890477,4043089.805071
113,-26630735.318848,4253719.500472,0.000000,4269377.940273,4292223.530471,1793922.113888,4043089.805071
114,-26586294.667969,4258747.554733,0.000000,4269377.940273,4292223.530471,1765149.689881,4043089.805071
115,-26368460.679688,4283736.897538,0.000000,4269377.940273,4292223.530471,-597738.889067,4043089.805071
116,-26223478.921875,4300681.561009,0.000000,4269377.940273,4292223.530471,-3724530.635029,4043089.805071
117,-26222424.151367,4300805.743526,0.000000,4269377.940273,4292223.530471,-266986.748259,4043089.805071
118,-26109022.908203,4314232.811771,0.000000,4269377.940273,4292223.530471,270155.645740,4043089.805071
119,-26089378.222656,4316574.026336,0.000000,4269377.940273,4292223.530471,1090437.805972,4043089.805071
120,-26037961.833984,4322722.899563,0.000000,4269377.940273,4292223.530471,2186167.527870,4043089.805071
121,-25974110.950195,4330401.296693,0.000000,4269377.940273,4292223.530471,-1678707.719726,4043089.805071
122,-25970044.732422,4330891.869203,0.000000,4269377.940273,4292223.530471,-1414553.889539,4043089.805071
123,-25952377.666016,4333025.532225,0.000000,4269377.940273,4292223.530471,1618708.255462,4043089.805071
