#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
1627,-23818955.609375,8087329.058081,0.000000,8006975.878423,8238989.020262,-7341928.237353,11138628.005967
1628,-23808015.056641,8092189.679175,0.000000,8006975.878423,8238989.020262,-1395687.940018,11138628.005967
1629,-23800480.295898,8095542.134423,0.000000,8006975.878423,8238989.020262,2688170.889229,11138628.005967
1630,-23787469.732422,8101340.427058,0.000000,8006975.878423,8238989.020262,3411114.141364,11138628.005967
1631,-23780179.019531,8104594.849078,0.000000,8006975.878423,8238989.020262,-4348811.069710,11138628.005967
1632,-23776017.015625,8106454.366026,0.000000,8006975.878423,8238989.020262,-3612826.450593,11138628.005967
1633,-23762436.197266,8112530.566774,0.000000,8006975.878423,8238989.020262,-2666333.008982,11138628.005967
1634,-23754894.855469,8115910.258553,0.000000,8006975.878423,8238989.020262,1834323.436682,11138628.005967
1635,-23751954.456055,8117229.099167,0.000000,8006975.878423,8238989.020262,-1634646.265955,11138628.005967
1636,-23742168.794922,8121622.586133,0.000000,8006975.878423,8238989.020262,-598371.780248,11138628.005967
1637,-23739724.824219,8122720.910697,0.000000,8006975.878423,8238989.020262,-4779480.037454,11138628.005967
1638,-23733427.509766,8125552.866948,0.000000,8006975.878423,8238989.020262,3086391.853750,11138628.005967
1639,-23722974.875000,8130259.646298,0.000000,8006975.878423,8238989.020262,-1858249.195507,11138628.005967
1640,-23707120.137695,8137413.571523,0.000000,8006975.878423,8238989.020262,1894243.409514,11138628.005967
1641,-23706496.117188,8137695.499547,0.000000,8006975.878423,8238989.020262,28222.876033,11138628.005967
1642,-23703912.859375,8138862.886329,0.000000,8006975.878423,8238989.020262,-254345.700527,11138628.005967
1643,-23697742.537109,8141653.169958,0.000000,8006975.878423,8238989.020262,-2556447.326349,11138628.005967
1644,-23697082.717285,8141951.704509,0.000000,8006975.878423,8238989.020262,9019125.495955,11138628.005967
1645,-23680358.467773,8149528.695347,0.000000,8006975.878423,8238989.020262,-1536007.612087,11138628.005967
1646,-23650963.593750,8162893.266765,0.000000,8006975.878423,8238989.020262,3043280.662507,11138628.005967
1647,-23645782.064453,8165255.289830,0.000000,8006975.878423,8238989.020262,1057150.607823,11138628.005967
1648,-23643013.587891,8166518.073052,0.000000,8006975.878423,8238989.020262,859003.531289,11138628.005967
1649,-23610801.445313,8181249.843757,0.000000,8006975.878423,8238989.020262,-7279016.830048,11138628.005967
1650,-23609949.462891,8181640.455731,0.000000,8006975.878423,8238989.020262,4631890.607580,11138628.005967
1651,-23601024.581055,8185735.280831,0.000000,8006975.878423,8238989.020262,-145505.350897,11138628.005967
1652,-23594772.841797,8188606.897130,0.000000,8006975.878423,8238989.020262,2870440.442782,11138628.005967
1653,-23585647.703125,8192803.162546,0.000000,8006975.878423,8238989.020262,-2667498.429100,11138628.005967
1654,-23581733.535156,8194604.869946,0.000000,8006975.878423,8238989.020262,-826188.520333,11138628.005967
1655,-23578057.022461,8196298.138043,0.000000,8006975.878423,8238989.020262,888638.131645,11138628.005967
1656,-23556601.603516,8206198.134341,0.000000,8006975.878423,8238989.020262,-3709083.794809,11138628.005967
1657,-23548558.666504,8209917.405528,0.000000,8006975.878423,8238989.020262,336076.486410,11138628.005967
1658,-23536241.386719,8215621.774507,0.000000,8006975.878423,8238989.020262,944915.090747,11138628.005967
1659,-23533342.519531,8216965.793320,0.000000,8006975.878423,8238989.020262,2881331.066205,11138628.005967
1660,-23528400.876953,8219258.230143,0.000000,8006975.878423,8238989.020262,-18322.360940,11138628.005967
1661,-23476630.288086,8243373.941475,0.000000,8006975.878423,8238989.020262,-2707467.521272,11138628.005967
1662,-23452677.921875,8254592.431272,0.000000,8006975.878423,8238989.020262,4591588.895465,11138628.005967
1663,-23451300.355469,8255238.806416,0.000000,8006975.878423,8238989.020262,-3041289.224047,11138628.005967
1664,-23445966.944336,8257742.521158,0.000000,8006975.878423,8238989.020262,4901446.614181,11138628.005967
1665,-23445777.851563,8257831.323715,0.000000,8006975.878423,8238989.020262,-2599361.539173,11138628.005967
1666,-23433558.224609,8263575.021002,0.000000,8006975.878423,8238989.020262,-1266142.866707,11138628.005967
1667,-23425927.839844,8267166.649409,0.000000,8006975.878423,8238989.020262,-1004361.833396,11138628.005967
1668,-23411167.699219,8274125.262331,0.000000,8006975.878423,8238989.020262,2458156.130399,11138628.005967
1669,-23406584.968750,8276288.719983,0.000000,8006975.878423,8238989.020262,308150.766644,11138628.005967
1670,-23405506.990234,8276797.824622,0.000000,8006975.878423,8238989.020262,-1290192.329317,11138628.005967
1671,-23399429.385254,8279669.581635,0.000000,8006975.878423,8238989.020262,1257669.299439,11138628.005967
1672,-23395842.093750,8281365.778868,0.000000,8006975.878423,8238989.020262,5449855.701269,11138628.005967
1673,-23392394.781250,8282996.592649,0.000000,8006975.878423,8238989.020262,3410883.338060,11138628.005967
1674,-23386394.417969,8285837.050455,0.000000,8006975.878423,8238989.020262,-2446398.558478,11138628.005967
1675,-23379483.886719,8289111.315811,0.000000,8006975.878423,8238989.020262,2608990.951226,11138628.005967
1676,-23373342.486328,8292023.809408,0.000000,8006975.878423,8238989.020262,914591.410569,11138628.005967
1677,-23370222.453613,8293504.405556,0.000000,8006975.878423,8238989.020262,1879181.718046,11138628.005967
1678,-23354328.390625,8301056.817210,0.000000,8006975.878423,8238989.020262,2630594.347253,11138628.005967
1679,-23350467.907959,8302893.720672,0.000000,8006975.878423,8238989.020262,7586752.389301,11138628.005967
1680,-23349311.218750,8303444.289935,0.000000,8006975.878423,8238989.020262,-1506563.692444,11138628.005967
1681,-23347828.064453,8304150.381099,0.000000,8006975.878423,8238989.020262,-447067.998285,11138628.005967
1682,-23327791.146484,8313703.591380,0.000000,8006975.878423,8238989.020262,-728141.930367,11138628.005967
1683,-23326746.652344,8314202.307647,0.000000,8006975.878423,8238989.020262,-1851238.776265,11138628.005967
1684,-23323817.330078,8315601.356887,0.000000,8006975.878423,8238989.020262,-1193648.913283,11138628.005967
1685,-23306895.058594,8323694.447426,0.000000,8006975.878423,8238989.020262,3150939.927697,11138628.005967
1686,-23280092.835938,8336550.852457,0.000000,8006975.878423,8238989.020262,-4376724.650044,11138628.005967
1687,-23266296.455078,8343186.863161,0.000000,8006975.878423,8238989.020262,-7763866.583564,11138628.005967
1688,-23264659.152344,8343975.219414,0.000000,8006975.878423,8238989.020262,-1250646.628688,11138628.005967
1689,-23263105.255859,8344723.576450,0.000000,8006975.878423,8238989.020262,-1038527.683430,11138628.005967
1690,-23262176.082031,8345171.141581,0.000000,8006975.878423,8238989.020262,-835578.865040,11138628.005967
1691,-23244836.754883,8353533.408537,0.000000,8006975.878423,8238989.020262,-689918.849559,11138628.005967
1692,-23236433.125000,8357593.229028,0.000000,8006975.878423,8238989.020262,7780909.891285,11138628.005967
1693,-23228130.464844,8361608.742095,0.000000,8006975.878423,8238989.020262,1361101.414733,11138628.005967
1694,-23212718.296875,8369074.470302,0.000000,8006975.878423,8238989.020262,4989927.923019,11138628.005967
1695,-23206141.473633,8372264.960192,0.000000,8006975.878423,8238989.020262,6414549.289338,11138628.005967
1696,-23186975.869141,8381578.216720,0.000000,8006975.878423,8238989.020262,-5218000.491142,11138628.005967
1697,-23183319.072266,8383357.855530,0.000000,8006975.878423,8238989.020262,3215040.074905,11138628.005967
1698,-23178702.515625,8385605.796663,0.000000,8006975.878423,8238989.020262,2814672.969281,11138628.005967
1699,-23178189.971191,8385855.453977,0.000000,8006975.878423,8238989.020262,-4943970.912126,11138628.005967
1700,-23165531.156250,8392026.803588,0.000000,8006975.878423,8238989.020262,948667.375512,11138628.005967
1701,-23151041.331055,8399103.320530,0.000000,8006975.878423,8238989.020262,3984396.889795,11138628.005967
1702,-23145243.661133,8401938.514566,0.000000,8006975.878423,8238989.020262,-2013676.351537,11138628.005967
1703,-23142442.005859,8403309.353022,0.000000,8006975.878423,8238989.020262,-1408030.789689,11138628.005967
1704,-23132855.195313,8408003.905081,0.000000,8006975.878423,8238989.020262,-1490018.510977,11138628.005967
1705,-23132225.683594,8408312.373527,0.000000,8006975.878423,8238989.020262,211138.948404,11138628.005967
1706,-23100133.356445,8424071.188434,0.000000,8006975.878423,8238989.020262,999135.935498,11138628.005967
1707,-23092945.384766,8427609.715384,0.000000,8006975.878423,8238989.020262,-1170077.942566,11138628.005967
1708,-23088750.232422,8429676.425411,0.000000,8006975.878423,8238989.020262,7300860.840711,11138628.005967
1709,-23084761.399414,8431642.519358,0.000000,8006975.878423,8238989.020262,6029101.473864,11138628.005967
1710,-23082351.842285,8432830.673010,0.000000,8006975.878423,8238989.020262,2289778.367692,11138628.005967
1711,-23081411.140625,8433294.632310,0.000000,8006975.878423,8238989.020262,-3046785.698096,11138628.005967
1712,-23077474.722656,8435236.697840,0.000000,8006975.878423,8238989.020262,-12290527.647340,11138628.005967
1713,-23071654.009766,8438110.176920,0.000000,8006975.878423,8238989.020262,-3240494.432295,11138628.005967
1714,-23065695.882813,8441053.690592,0.000000,8006975.878423,8238989.020262,-68755.552455,11138628.005967
1715,-23033702.629883,8456897.359038,0.000000,8006975.878423,8238989.020262,-2254063.928994,11138628.005967
1716,-23005566.982422,8470883.316841,0.000000,8006975.878423,8238989.020262,-180878.519243,11138628.005967
1717,-23002727.541992,8472297.502204,0.000000,8006975.878423,8238989.020262,-1799771.168084,11138628.005967
1718,-22990036.873047,8478624.194275,0.000000,8006975.878423,8238989.020262,458181.430887,11138628.005967
1719,-22989149.172852,8479067.112768,0.000000,8006975.878423,8238989.020262,466695.775237,11138628.005967
1720,-22985135.961670,8481070.113712,0.000000,8006975.878423,8238989.020262,-3676337.795675,11138628.005967
1721,-22970550.029297,8488358.342422,0.000000,8006975.878423,8238989.020262,-92357.457062,11138628.005967
1722,-22947908.253906,8499697.799088,0.000000,8006975.878423,8238989.020262,-65420.170422,11138628.005967
1723,-22944596.441406,8501359.058560,0.000000,8006975.878423,8238989.020262,1264851.188899,11138628.005967
1724,-22923339.312500,8512037.962142,0.000000,8006975.878423,8238989.020262,-5347810.822646,11138628.005967
1725,-22921723.472656,8512850.837583,0.000000,8006975.878423,8238989.020262,1302821.061528,11138628.005967
1726,-22910338.047852,8518582.980019,0.000000,8006975.878423,8238989.020262,-8135105.049069,11138628.005967
1727,-22905321.155746,8521111.306616,0.000000,8006975.878423,8238989.020262,228930.460891,11138628.005967
1728,-22897425.828300,8525093.357547,0.000000,8006975.878423,8238989.020262,1731279.108566,11138628.005967
1729,-22881612.567383,8533080.242686,0.000000,8006975.878423,8238989.020262,4429054.480718,11138628.005967
1730,-22877730.191406,8535043.451936,0.000000,8006975.878423,8238989.020262,-1682098.016139,11138628.005967
1731,-22875910.259766,8535964.054750,0.000000,8006975.878423,8238989.020262,661063.885810,11138628.005967
1732,-22875573.484375,8536134.432783,0.000000,8006975.878423,8238989.020262,1977059.753391,11138628.005967
1733,-22871631.669922,8538129.146225,0.000000,8006975.878423,8238989.020262,496151.838668,11138628.005967
1734,-22866701.586426,8540625.285083,0.000000,8006975.878423,8238989.020262,1841979.621522,11138628.005967
1735,-22866359.613281,8540798.483169,0.000000,8006975.878423,8238989.020262,1396421.386727,11138628.005967
1736,-22847246.112305,8550490.059071,0.000000,8006975.878423,8238989.020262,11914992.337629,11138628.005967
