#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
197,-32513716.617188,7804073.756909,0.000000,7960993.842271,8187161.879957,1482853.266454,11049379.189569
198,-32512864.636719,7803733.789978,0.000000,7960993.842271,8187161.879957,-1859841.870251,11049379.189569
199,-32511953.449707,7803370.260054,0.000000,7960993.842271,8187161.879957,-429625.927851,11049379.189569
200,-32510139.558594,7802646.776210,0.000000,7960993.842271,8187161.879957,2030142.941977,11049379.189569
201,-32505260.011719,7800701.799703,0.000000,7960993.842271,8187161.879957,-1892001.897135,11049379.189569
202,-32501005.220703,7799007.357680,0.000000,7960993.842271,8187161.879957,3060945.983046,11049379.189569
203,-32495604.433594,7796858.555546,0.000000,7960993.842271,8187161.879957,1934747.595233,11049379.189569
204,-32494588.925781,7796454.770330,0.000000,7960993.842271,8187161.879957,1624685.218279,11049379.189569
205,-32489645.261719,7794490.220867,0.000000,7960993.842271,8187161.879957,-2521839.349370,11049379.189569
206,-32484771.921875,7792555.478404,0.000000,7960993.842271,8187161.879957,-1983005.730996,11049379.189569
207,-32481257.162109,7791161.247272,0.000000,7960993.842271,8187161.879957,2004995.254340,11049379.189569
208,-32475157.179688,7788743.797509,0.000000,7960993.842271,8187161.879957,2478262.975916,11049379.189569
209,-32464975.974609,7784715.405145,0.000000,7960993.842271,8187161.879957,4207986.158118,11049379.189569
210,-32459504.277344,7782553.764898,0.000000,7960993.842271,8187161.879957,4371825.236968,11049379.189569
211,-32456130.484375,7781222.085595,0.000000,7960993.842271,8187161.879957,-652136.415941,11049379.189569
212,-32426282.015625,7769479.337181,0.000000,7960993.842271,8187161.879957,-3005872.706705,11049379.189569
213,-32421938.707031,7767776.452444,0.000000,7960993.842271,8187161.879957,-3866947.682215,11049379.189569
214,-32417276.218750,7765950.076989,0.000000,7960993.842271,8187161.879957,381535.364340,11049379.189569
215,-32414350.261719,7764804.803374,0.000000,7960993.842271,8187161.879957,2384807.444025,11049379.189569
216,-32409068.683594,7762739.202059,0.000000,7960993.842271,8187161.879957,2963211.105868,11049379.189569
217,-32399543.734375,7759019.592446,0.000000,7960993.842271,8187161.879957,-1417953.917049,11049379.189569
218,-32394060.832031,7756881.696179,0.000000,7960993.842271,8187161.879957,952215.047962,11049379.189569
219,-32376507.671875,7750053.327549,0.000000,7960993.842271,8187161.879957,588437.478143,11049379.189569
220,-32355321.144531,7741844.025946,0.000000,7960993.842271,8187161.879957,12204414.706996,11049379.189569
221,-32318038.605469,7727484.491829,0.000000,7960993.842271,8187161.879957,-1211950.700985,11049379.189569
222,-32305147.363281,7722545.162864,0.000000,7960993.842271,8187161.879957,6289986.562833,11049379.189569
223,-32301083.449219,7720990.813386,0.000000,7960993.842271,8187161.879957,199227.289764,11049379.189569
224,-32296924.808594,7719401.601813,0.000000,7960993.842271,8187161.879957,-941588.185089,11049379.189569
225,-32284638.413086,7714714.488673,0.000000,7960993.842271,8187161.879957,-5301508.494953,11049379.189569
226,-32281634.378906,7713570.327481,0.000000,7960993.842271,8187161.879957,411497.320522,11049379.189569
227,-32281440.566406,7713496.534039,0.000000,7960993.842271,8187161.879957,-56273.950630,11049379.189569
228,-32268186.326172,7708457.186782,0.000000,7960993.842271,8187161.879957,3006266.626124,11049379.189569
229,-32254479.074219,7703260.464944,0.000000,7960993.842271,8187161.879957,-713649.218613,11049379.189569
230,-32245624.171875,7699911.425178,0.000000,7960993.842271,8187161.879957,-1441397.725006,11049379.189569
231,-32243772.241211,7699211.800629,0.000000,7960993.842271,8187161.879957,-4637983.325462,11049379.189569
232,-32221200.109375,7690706.748607,0.000000,7960993.842271,8187161.879957,-61399.759682,11049379.189569
233,-32218545.082031,7689709.059037,0.000000,7960993.842271,8187161.879957,1562553.925297,11049379.189569
234,-32205649.556641,7684871.387247,0.000000,7960993.842271,8187161.879957,645194.193558,11049379.189569
235,-32197287.914063,7681741.784720,0.000000,7960993.842271,8187161.879957,3600241.871349,11049379.189569
236,-32149896.816406,7664111.783481,0.000000,7960993.842271,8187161.879957,7833465.026976,11049379.189569
237,-32141182.132813,7660889.796849,0.000000,7960993.842271,8187161.879957,1863143.088534,11049379.189569
238,-32136875.419922,7659299.819168,0.000000,7960993.842271,8187161.879957,-2889396.281331,11049379.189569
239,-32136507.429688,7659164.032873,0.000000,7960993.842271,8187161.879957,1054058.399731,11049379.189569
240,-32132342.558594,7657627.993369,0.000000,7960993.842271,8187161.879957,2446684.545538,11049379.189569
241,-32127656.595703,7655901.472307,0.000000,7960993.842271,8187161.879957,-1716330.165418,11049379.189569
242,-32110237.914063,7649499.456527,0.000000,7960993.842271,8187161.879957,1699816.539554,11049379.189569
243,-32094725.539063,7643819.100984,0.000000,7960993.842271,8187161.879957,1658169.135214,11049379.189569
244,-32090087.093750,7642124.438116,0.000000,7960993.842271,8187161.879957,1603201.758100,11049379.189569
245,-32083791.406250,7639827.140781,0.000000,7960993.842271,8187161.879957,-297526.294821,11049379.189569
246,-32080755.941406,7638720.669119,0.000000,7960993.842271,8187161.879957,-2970120.895162,11049379.189569
247,-32067835.359375,7634019.451039,0.000000,7960993.842271,8187161.879957,1359608.114145,11049379.189569
248,-32067064.636475,7633739.456341,0.000000,7960993.842271,8187161.879957,3116594.970269,11049379.189569
249,-32066317.980469,7633468.251782,0.000000,7960993.842271,8187161.879957,2011782.881043,11049379.189569
250,-32060384.480469,7631314.694749,0.000000,7960993.842271,8187161.879957,-3415695.054125,11049379.189569
251,-32059210.093750,7630888.798350,0.000000,7960993.842271,8187161.879957,-2255999.840570,11049379.189569
252,-32052751.933594,7628548.762757,0.000000,7960993.842271,8187161.879957,316637.990059,11049379.189569
253,-32041716.222656,7624558.120000,0.000000,7960993.842271,8187161.879957,-1697383.074211,11049379.189569
254,-32011733.382813,7613767.130900,0.000000,7960993.842271,8187161.879957,1504906.216651,11049379.189569
