leg,pay_date,obs_date,obs_time_model,obs_time_report,xva_state_at_obs,ore_flow_leg,ore_flow_pay_date,ore_flow_pay_time_model,ore_flow_pay_time_report,ore_flow_start_date,ore_flow_end_date,ore_flow_fixing_date,ore_flow_accrual,ore_flow_coupon,ore_flow_notional,ore_flow_sign,ore_flow_amount,py_portfolio_pay_date,py_portfolio_pay_time_model,py_portfolio_pay_time_report,py_portfolio_start_date,py_portfolio_end_date,py_portfolio_fixing_date,py_portfolio_accrual,py_portfolio_coupon,py_portfolio_notional,py_portfolio_sign,py_portfolio_amount,py_active_pay_date,py_active_pay_time_model,py_active_pay_time_report,py_active_start_date,py_active_end_date,py_active_fixing_date,py_active_accrual,py_active_coupon,py_active_notional,py_active_sign,py_active_amount,diff_portfolio_vs_ore_amount,diff_active_vs_ore_amount,diff_active_vs_portfolio_amount
float,2019-09-02,2016-03-07,0.0849315068,0.0846994536,dead,float,2019-09-02,3.5753424657534247,3.572864735384385,2019-03-01,2019-09-02,2019-03-01,0.5138888889,0.0196281483,10000000.0,-1.0,-100866.8732,,,,,,,,,,,,,,,,,,,,,,,,,
float,2020-03-01,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2020-03-01,4.0710382513661205,4.0683060109289615,2019-09-01,2020-03-01,2019-08-28,0.5055555555555555,0.0,10000000.0,-1.0,0.0,2020-03-01,4.0710382513661205,4.0683060109289615,2019-09-01,2020-03-01,2019-09-01,0.5055555556,0.0196202825,10000000.0,-1.0,-99191.4282,,,-99191.4282
float,2020-03-02,2016-03-07,0.0849315068,0.0846994536,dead,float,2020-03-02,4.073972602739726,4.0710382513661205,2019-09-02,2020-03-02,2019-09-02,0.5055555556,0.0196202825,10000000.0,-1.0,-99191.4282,,,,,,,,,,,,,,,,,,,,,,,,,
float,2020-08-30,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2020-08-30,4.5710382513661205,4.565573770491803,2020-03-01,2020-08-30,2020-02-26,0.5083333333333333,0.0,10000000.0,-1.0,0.0,2020-08-30,4.5710382513661205,4.565573770491803,2020-03-01,2020-08-30,2020-03-01,0.5083333333,0.0195727742,10000000.0,-1.0,-99494.9358,,,-99494.9358
float,2020-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2020-09-01,4.575342465753424,4.5710382513661205,2020-03-02,2020-09-01,2020-03-02,0.5083333333,0.0195727742,10000000.0,-1.0,-99494.9358,,,,,,,,,,,,,,,,,,,,,,,,,
float,2021-02-27,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2021-02-27,5.066015420315892,5.060535968261098,2020-08-30,2021-02-27,2020-08-26,0.5027777777777778,0.0,10000000.0,-1.0,0.0,2021-02-27,5.066015420315892,5.060535968261098,2020-08-30,2021-02-27,2020-08-30,0.5027777778,0.0195777373,10000000.0,-1.0,-98432.5128,,,-98432.5128
float,2021-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2021-03-01,5.071232876712329,5.066015420315892,2020-09-01,2021-03-01,2020-09-01,0.5027777778,0.0195777373,10000000.0,-1.0,-98432.5128,,,,,,,,,,,,,,,,,,,,,,,,,
float,2021-08-30,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2021-08-30,5.570125009356988,5.564645557302193,2021-02-27,2021-08-30,2021-02-23,0.5111111111111111,0.0,10000000.0,-1.0,0.0,2021-08-30,5.570125009356988,5.564645557302193,2021-02-27,2021-08-30,2021-02-27,0.5111111111,0.0196278286,10000000.0,-1.0,-100320.0127,,,-100320.0127
float,2021-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2021-09-01,5.575342465753424,5.570125009356988,2021-03-01,2021-09-01,2021-03-01,0.5111111111,0.0196278286,10000000.0,-1.0,-100320.0127,,,,,,,,,,,,,,,,,,,,,,,,,
float,2022-02-27,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2022-02-27,6.066015420315892,6.060535968261098,2021-08-30,2022-02-27,2021-08-28,0.5027777777777778,0.0,10000000.0,-1.0,0.0,2022-02-27,6.066015420315892,6.060535968261098,2021-08-30,2022-02-27,2021-08-30,0.5027777778,0.0196262288,10000000.0,-1.0,-98676.3169,,,-98676.3169
